行政区划代码,4.消费总量（原煤）,4.消费总量（洗精煤）,4.消费总量（其他洗煤）,4.消费总量（型煤）,4.消费总量（焦炭）,4.消费总量（焦炉煤气）,4.消费总量（高炉煤气）,4.消费总量（天然气*）,4.消费总量（液化天然气*）,4.消费总量（液化石油气*）,4.消费总量（炼厂干气*）,4.消费总量（原油*）,4.消费总量（汽油*）,4.消费总量（煤油*）,4.消费总量（柴油*）,4.消费总量（燃料油*）,4.消费总量（其他燃料*）,4.消费总量（热力）,4.消费总量（电力）,5.其中：用作原料量（原煤）,5.其中：用作原料量（洗精煤）,5.其中：用作原料量（其他洗煤）,5.其中：用作原料量（型煤）,5.其中：用作原料量（焦炭）,5.其中：用作原料量（焦炉煤气）,5.其中：用作原料量（高炉煤气）,5.其中：用作原料量（天然气*）,5.其中：用作原料量（液化天然气*）,5.其中：用作原料量（液化石油气*）,5.其中：用作原料量（炼厂干气*）,5.其中：用作原料量（原油*）,5.其中：用作原料量（汽油*）,5.其中：用作原料量（煤油*）,5.其中：用作原料量（柴油*）,5.其中：用作原料量（燃料油*）,5.其中：用作原料量（其他燃料*）
520101000000 ,50.12333,,,,15.92671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520102000000 ,25818.90562,,,,107.02119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520103000000 ,4099.46088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111000000 ,2390.26,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520112000000 ,633.4366,,,,6.63942,,,,,,,,,,,1.33912,,,,,,,,,,,,,,,,,,,,
520113000000 ,15836,3224,,,1676,,,,,,,,,,,2254,,,,,,,,,,,,,,,,,,,,
520114000000 ,15.94614,0,0,0,1.02753,,,,,,,,,,,0.62104,,,,,,,,,,,,,,,,,,,,
520121000000 ,3298,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,
520122000000 ,17935.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520123000000 ,1138.44,,,,2552.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520181000000 ,33658.97,10289.52,,,5902.48,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,
